id_partido;fecha;hora;categoria;competicion;grupo;estadio;equipo_local;equipo_visitante;goles_local;goles_visitante;amarillas_local;amarillas_visitante;rojas_local;rojas_visitante;arbitro_principal;arbitro_comite;arbitro_principal_clean;tarjetas_total;desviacion_tarjetas;id_territorio;ciudad;barrio;ref_edad;ref_years_arbitrando;ref_years_categoria;ref_rango_oficial;ref_IDP
99271;2025-12-20;12:15:00;CADETE;CADET SEGONA DIVISIÓ S16;GRUP 24;CAMP DE FUTBOL MPAL. DE TÉRMENS;ESCOLA LA NOGUERA, C.E. A;MAGRANERS, C.D. A;3;0;0;0;0;0;AOUDIA, SOFIANE;Lleida;AOUDIA, SOFIANE;0;-2.5127604027918378;Térmens;Térmens;Térmens;21.0;4.0;1.0;Àrbitre 2a Catalana;0.8115721581858097
101080;2025-12-20;16:00:00;AMATEUR;QUARTA CATALANA;GRUP 18;CAMP DE FUTBOL MPAL. SANT MARTÍ DE PROVENÇALS;PEÑA PASION XENEIZE BARCELONA, ASSOC.  A;POMAR, C.D. A;0;0;2;1;0;0;GARCIA CALBO, SANTIAGO;Barcelona1;GARCIA CALBO, SANTIAGO;3;-2.173220436280138;Barcelona;Barcelona;Barcelona;21.0;4.0;1.0;Àrbitre 3a Catalana;1.5562398164702498
112127;2025-12-20;16:00:00;CADETE;PREFERENT CADET S15;GRUP 1;CAMP DE FUTBOL MPAL. DE SALT;PENYA BONS AIRES E A;VILASSAR DALT-GIATSU, C.E. A;1;1;0;0;1;0;LLADÓ ULLÉS, ALFONS;Girona;LLADÓ ULLÉS, ALFONS;1;-1.5127604027918378;Salt;Salt;Salt;19.0;4.0;1.0;Àrbitre 2a Catalana;4.131766706550099
117287;2025-12-20;16:00:00;CADETE;CADET PRIMERA DIVISIÓ S16;GRUP 5;CAMP DE FUTBOL ZEM DE RIPOLLET;RIPOLLET, C.F. A;BASE MONTCADA CLUB FUTBOL A;1;3;2;0;0;0;SÁNCHEZ RODRÍGUEZ, ORIOL;Vallès Occidental;SÁNCHEZ RODRÍGUEZ, ORIOL;2;-0.5127604027918378;Ripollet 1 (Centre - Maragall);Ripollet;Centre - Maragall;18.0;2.0;2.0;Àrbitre Cursetista 2n any;-0.49232773044031447
95440;2025-12-20;18:00:00;AMATEUR;QUARTA CATALANA;GRUP 13;CAMP DE FUTBOL MPAL. LA FERRERIA;MONTCADA, C.D B;BARBERÀ CLUB DE FUTBOL B;2;0;6;1;0;0;MATA PARRAGA, JOAN;Vallès Occidental;MATA PARRAGA, JOAN;7;1.826779563719862;Montcada i Reixac;Montcada i Reixac;Montcada i Reixac;26.0;10.0;8.0;Àrbitre 3a Catalana;1.6757801288900585
101081;2025-12-20;18:00:00;AMATEUR;QUARTA CATALANA;GRUP 18;CAMP DE FUTBOL MPAL. DE PREMIÀ DE DALT;LEGION,C.F.  A;YOUNG TALENT BADALONA SUD ASSOC.ESP. B;0;0;0;0;0;0;No asignado;Desconocido;NO ASIGNADO;0;-5.173220436280138;Premià de Dalt;Premià de Dalt;Premià de Dalt;;;;;
112128;2025-12-20;18:00:00;CADETE;PREFERENT CADET S15;GRUP 1;CAMP DE FUTBOL MPAL. GAUDENCI SELLÉS ROMÀ;QUART, U.E. A;CARDEDEU, F.C. A;4;1;3;0;0;0;BOADA BARCELONA, MARC;Girona;BOADA BARCELONA, MARC;3;0.48723959720816223;Quart;Quart;Quart;32.0;12.0;7.0;Àrbitre 1a Catalana;1.9214481948463735
13980;2025-12-20;18:15:00;JUVENIL;JUVENIL PRIMERA DIVISIÓ;GRUP 5;CAMP DE FUTBOL MPAL. TORRE-ROMEU;TIBIDABO TORRE ROMEU, U.D. B;EUROPA, C.E. D;2;0;4;3;0;0;TORRES LUQUE, JORDI;Vallès Occidental;TORRES LUQUE, JORDI;7;3.4754461099214846;Sabadell 22 (Torre-romeu - Can Roqueta - el Poblenou);Sabadell;Torre-romeu - Can Roqueta - el Poblenou;30.0;11.0;3.0;À.Assistent Lliga Elit ;1.5857451764449555
13981;2025-12-20;18:30:00;JUVENIL;JUVENIL PRIMERA DIVISIÓ;GRUP 5;CAMP DE FUTBOL ZEM DE RIPOLLET;RIPOLLET, C.F. A;L'HOSPITALET, CENTRE ESPORTS C;1;0;0;0;0;0;ALINS RODRÍGUEZ, XAVIER;Vallès Occidental;ALINS RODRÍGUEZ, XAVIER;0;-3.5245538900785154;Ripollet 1 (Centre - Maragall);Ripollet;Centre - Maragall;32.0;12.0;3.0;Àrbitre 2a RFEF;0.08989795416217872
101082;2025-12-20;19:30:00;AMATEUR;QUARTA CATALANA;GRUP 18;CAMP DE FUTBOL CEM BESÒS-TRAJANA;ONA SANT ADRIA, F.C. A;MONTAÑESA, C.F. B;3;0;2;7;0;0;PEREZ SENA, MARIO ALEJANDRO;Barcelona1;PEREZ SENA, MARIO ALEJANDRO;9;3.826779563719862;Barcelona 179 (el Besòs);Barcelona;el Besòs;31.0;10.0;4.0;Àrbitre 3a Catalana;3.4510062227453226
