id_territorio;tipo_territorio;nombre_territorio;municipio;ciudad;barrio;valor_IST
Abrera 1 (Nord, Est i Oest);Agrupación Censal;Abrera 1 (Nord, Est i Oest);Abrera;Abrera;Nord, Est i Oest;116.2
Abrera 2 (Centre i Sud);Agrupación Censal;Abrera 2 (Centre i Sud);Abrera;Abrera;Centre i Sud;102.7
Ametlla del Vallès, l';Agrupación Censal;Ametlla del Vallès, l';Ametlla del Vallès;L'Ametlla del Vallès;L'Ametlla del Vallès;120.1
Arenys de Mar 1 (Nord-est);Agrupación Censal;Arenys de Mar 1 (Nord-est);Arenys de Mar;Arenys de Mar;Nord-est;106.3
Arenys de Mar 2 (Sud-oest);Agrupación Censal;Arenys de Mar 2 (Sud-oest);Arenys de Mar;Arenys de Mar;Sud-oest;104.7
Badalona 1 (Centre);Agrupación Censal;Badalona 1 (Centre);Badalona;Badalona;Centre;121.9
Badalona 2 (Coll i Pujol - Dalt la Vila);Agrupación Censal;Badalona 2 (Coll i Pujol - Dalt la Vila);Badalona;Badalona;Coll i Pujol - Dalt la Vila;116.9
Badalona 3 (Raval - Can Claris);Agrupación Censal;Badalona 3 (Raval - Can Claris);Badalona;Badalona;Raval - Can Claris;105.4
Badalona 4 (Progrés - sector Plaça de Pep Ventura);Agrupación Censal;Badalona 4 (Progrés - sector Plaça de Pep Ventura);Badalona;Badalona;Progrés - sector Plaça de Pep Ventura;111.1
Badalona 5 (Progrés - sector Pont del Petroli);Agrupación Censal;Badalona 5 (Progrés - sector Pont del Petroli);Badalona;Badalona;Progrés - sector Pont del Petroli;117.9
Badalona 6 (Gorg - Congrés);Agrupación Censal;Badalona 6 (Gorg - Congrés);Badalona;Badalona;Gorg - Congrés;94.0
Badalona 7 (Sant Roc Sud-est - la Mora - el Remei);Agrupación Censal;Badalona 7 (Sant Roc Sud-est - la Mora - el Remei);Badalona;Badalona;Sant Roc Sud-est - la Mora - el Remei;74.3
Badalona 8 (Sant Roc Est - sector Plaça Roja);Agrupación Censal;Badalona 8 (Sant Roc Est - sector Plaça Roja);Badalona;Badalona;Sant Roc Est - sector Plaça Roja;61.3
Badalona 9 (Sant Roc Oest - sector Plaça de Camarón de la Isla);Agrupación Censal;Badalona 9 (Sant Roc Oest - sector Plaça de Camarón de la Isla);Badalona;Badalona;Sant Roc Oest - sector Plaça de Camarón de la Isla;51.6
Badalona 10 (Artigas);Agrupación Censal;Badalona 10 (Artigas);Badalona;Badalona;Artigas;72.9
Badalona 11 (Sant Mori de Llefià - sector Carrer de Guasch);Agrupación Censal;Badalona 11 (Sant Mori de Llefià - sector Carrer de Guasch);Badalona;Badalona;Sant Mori de Llefià - sector Carrer de Guasch;89.1
Badalona 12 (Sant Mori de Llefià - sector Carretera Antiga de València);Agrupación Censal;Badalona 12 (Sant Mori de Llefià - sector Carretera Antiga de València);Badalona;Badalona;Sant Mori de Llefià - sector Carretera Antiga de València;84.0
Badalona 13 (Sant Antoni de Llefià);Agrupación Censal;Badalona 13 (Sant Antoni de Llefià);Badalona;Badalona;Sant Antoni de Llefià;82.8
Badalona 14 (Sant Joan de Llefià);Agrupación Censal;Badalona 14 (Sant Joan de Llefià);Badalona;Badalona;Sant Joan de Llefià;81.6
Badalona 15 (la Salut Nord - sector Grup Verge de la Salut);Agrupación Censal;Badalona 15 (la Salut Nord - sector Grup Verge de la Salut);Badalona;Badalona;la Salut Nord - sector Grup Verge de la Salut;74.1
Badalona 16 (la Salut Centre);Agrupación Censal;Badalona 16 (la Salut Centre);Badalona;Badalona;la Salut Centre;69.1
Badalona 17 (la Salut Sud - sector Mercat de la Salut);Agrupación Censal;Badalona 17 (la Salut Sud - sector Mercat de la Salut);Badalona;Badalona;la Salut Sud - sector Mercat de la Salut;77.0
Badalona 18 (Sistrells);Agrupación Censal;Badalona 18 (Sistrells);Badalona;Badalona;Sistrells;88.3
Badalona 19 (la Pau);Agrupación Censal;Badalona 19 (la Pau);Badalona;Badalona;la Pau;71.0
Badalona 20 (Puigfred);Agrupación Censal;Badalona 20 (Puigfred);Badalona;Badalona;Puigfred;92.4
Badalona 21 (Montigalà);Agrupación Censal;Badalona 21 (Montigalà);Badalona;Badalona;Montigalà;106.6
Badalona 22 (Lloreda);Agrupación Censal;Badalona 22 (Lloreda);Badalona;Badalona;Lloreda;98.3
Badalona 23 (Nova Lloreda);Agrupación Censal;Badalona 23 (Nova Lloreda);Badalona;Badalona;Nova Lloreda;104.8
Badalona 24 (Sant Crist de Can Cabanyes);Agrupación Censal;Badalona 24 (Sant Crist de Can Cabanyes);Badalona;Badalona;Sant Crist de Can Cabanyes;85.9
Badalona 25 (Bufalà Oest - sector Can Barriga);Agrupación Censal;Badalona 25 (Bufalà Oest - sector Can Barriga);Badalona;Badalona;Bufalà Oest - sector Can Barriga;115.6
Badalona 26 (Bufalà Nord - Bonavista);Agrupación Censal;Badalona 26 (Bufalà Nord - Bonavista);Badalona;Badalona;Bufalà Nord - Bonavista;105.5
Badalona 27 (Bufalà Sud - sector Can Boscà);Agrupación Censal;Badalona 27 (Bufalà Sud - sector Can Boscà);Badalona;Badalona;Bufalà Sud - sector Can Boscà;107.3
Badalona 28 (Morera);Agrupación Censal;Badalona 28 (Morera);Badalona;Badalona;Morera;109.8
Badalona 29 (Canyet - Mas Ram - Pomar de Dalt - Pomar);Agrupación Censal;Badalona 29 (Canyet - Mas Ram - Pomar de Dalt - Pomar);Badalona;Badalona;Canyet - Mas Ram - Pomar de Dalt - Pomar;93.9
Badalona 30 (Casagemes - Canyadó - Manresà - les Guixeres);Agrupación Censal;Badalona 30 (Casagemes - Canyadó - Manresà - les Guixeres);Badalona;Badalona;Casagemes - Canyadó - Manresà - les Guixeres;118.6
Barcelona 1 (el Liceu i les Drassanes);Agrupación Censal;Barcelona 1 (el Liceu i les Drassanes);Barcelona;Barcelona;el Liceu i les Drassanes;78.8
