estadio;equipo_local;id_territorio;ciudad;barrio
CAMP DE FUTBOL MPAL. DE TÉRMENS;ESCOLA LA NOGUERA, C.E. A;Térmens;Térmens;Térmens
CAMP DE FUTBOL MPAL. SANT MARTÍ DE PROVENÇALS;PEÑA PASION XENEIZE BARCELONA, ASSOC.  A;Barcelona;Barcelona;Barcelona
CAMP DE FUTBOL MPAL. DE SALT;PENYA BONS AIRES E A;Salt;Salt;Salt
CAMP DE FUTBOL ZEM DE RIPOLLET;RIPOLLET, C.F. A;Ripollet 1 (Centre - Maragall);Ripollet;Centre - Maragall
CAMP DE FUTBOL MPAL. LA FERRERIA;MONTCADA, C.D B;Montcada i Reixac;Montcada i Reixac;Montcada i Reixac
CAMP DE FUTBOL MPAL. DE PREMIÀ DE DALT;LEGION,C.F.  A;Premià de Dalt;Premià de Dalt;Premià de Dalt
CAMP DE FUTBOL MPAL. GAUDENCI SELLÉS ROMÀ;QUART, U.E. A;Quart;Quart;Quart
CAMP DE FUTBOL MPAL. TORRE-ROMEU;TIBIDABO TORRE ROMEU, U.D. B;Sabadell 22 (Torre-romeu - Can Roqueta - el Poblenou);Sabadell;Torre-romeu - Can Roqueta - el Poblenou
CAMP DE FUTBOL CEM BESÒS-TRAJANA;ONA SANT ADRIA, F.C. A;Barcelona 179 (el Besòs);Barcelona;el Besòs
CAMP DE FUTBOL MPAL. LA FERRERIA;BASE MONTCADA CLUB FUTBOL  B;Montcada i Reixac;Montcada i Reixac;Montcada i Reixac
CAMP DE FUTBOL CEM MARESME;PUJADAS, C.D. A;Barcelona 180 (el Maresme i el Maresme Vell);Barcelona;el Maresme i el Maresme Vell
CAMP DE FUTBOL MPAL. DE BATEA;BATEA, C.F. A;Batea;Batea;Batea
CAMP DE FUTBOL MPAL. DE VALLVIDRERA;DAUMAR , ASSOCIACIO CLUB  A;Desconocido;Desconocido;Desconocido
No especificado;VILA-SECA C.F. B;Vila-seca;Vila-seca;Vila-seca
CAMP DE FUTBOL MPAL. VILARTAGUES;SANT FELIU DE GUIXOLS C.F. B;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu;Sant Feliu de Buixalleu
CAMP DE FUTBOL MPAL. DE MONT-RAS;MONT-RAS,C.E. A;Mont-ras;Mont-ras;Mont-ras
No especificado;CANONJA, C.F. A;Canonja, la;La Canonja;La Canonja
